"Table 1. Respondent profile, overall, by province/territory, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Overall,Males,Females,Ages 18-26,Ages 27-49,Ages 50-64,Ages 65-79,Ages 80+,,,,,,,,,,,,,,,,,,,,,,
,,[21.6-23.2],,[32.0-41.7],,[24.5-33.8],,[19.7-27.2],,[24.6-33.3],,[24.7-28.3],,[17.1-19.8],,[16.1-23.2],,[19.1-26.8],,[19.4-23.7],,[23.0-27.4],,[10.5-20.9],,[9.9-24.5],,[19.2-49.8],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B5. Have you ever been vaccinated against pertussis (whooping cough) as an adult, that is, 18 years of age or older? (n=9,315); (n(000s)=22,548)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"9,225",40.90%,121,36.70%,49,49.80%,239,40.40%,225,44.90%,"2,001",35.80%,"3,647",44.00%,334,43.20%,322,46.80%,"1,174",46.20%,"1,082",35.10%,12,49.30%,13,55.5%+,#,#,,
,,[39.9-41.9],,[31.6-42.1],,[44.3-55.3],,[35.7-45.4],,[39.9-50.1],,[33.7-37.9],,[42.1-45.9],,[38.3-48.2],,[41.9-51.8],,[43.4-49.1],,[32.4-37.8],,[41.2-57.3],,[44.5-66.0],,,,
No,"13,323",59.10%,209,63.30%,49,50.20%,353,59.60%,275,55.10%,"3,587",64.20%,"4,644",56.00%,439,56.80%,366,53.20%,"1,366",53.80%,"2,004",64.90%,12,50.70%,10,44.5%-,#,#,,
,,[58.1-60.1],,[57.9-68.4],,[44.7-55.7],,[54.6-64.3],,[49.9-60.1],,[62.1-66.3],,[54.1-57.9],,[51.8-61.7],,[48.2-58.1],,[50.9-56.6],,[62.2-67.6],,[42.7-58.8],,[34.0-55.5],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B7. Have you ever been vaccinated against varicella (chickenpox)? (n=4,811); (n(000s)=12,894)¹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"6,822",52.90%,77,47.40%,31,60.00%,155,50.5%+,125,52.70%,"1,522",52.10%,"2,747",55.30%,213,43.70%,192,47.5%+,851,54.20%,888,50.90%,7,42.40%,#,#,#,#,,
,,[51.5-54.3],,[39.3-55.6],,[51.4-68.0],,[43.2-57.8],,[45.3-60.0],,[49.1-55.1],,[52.7-57.9],,[37.0-50.6],,[40.8-54.4],,[50.2-58.1],,[46.9-54.9],,[31.5-54.1],,,,,,
No,"6,072",47.10%,85,52.60%,21,40.00%,152,49.5%-,112,47.30%,"1,399",47.90%,"2,217",44.70%,274,56.30%,212,52.5%-,719,45.80%,856,49.10%,10,57.60%,#,#,#,#,,
,,[45.7-48.5],,[44.4-60.7],,[32.0-48.6],,[42.2-56.8],,[40.0-54.7],,[44.9-50.9],,[42.1-47.3],,[49.4-63.0],,[45.6-59.2],,[41.9-49.8],,[45.1-53.1],,[45.9-68.5],,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B10. Have you ever been vaccinated against human papillomavirus, or HPV? (n=10,533); (n(000s)=25,514)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"4,526",17.70%,53,14.00%,20,19.60%,106,15.40%,82,15.10%,"1,004",16.40%,"1,870",19.30%,125,14.20%,108,14.60%,590,20.90%,549,15.70%,6,19.60%,10,37.3%*,#,#,,
,,[17.0-18.5],,[10.9-17.9],,[15.7-24.1],,[12.3-19.0],,[11.9-19.0],,[15.0-18.0],,[17.9-20.8],,[11.2-17.8],,[11.6-18.3],,[18.8-23.2],,[13.9-17.7],,[14.3-26.3],,[27.4-48.5],,,,
No,"20,988",82.30%,326,86.00%,84,80.40%,582,84.60%,463,84.90%,"5,101",83.60%,"7,812",80.70%,754,85.80%,631,85.40%,"2,234",79.10%,"2,947",84.30%,23,80.40%,17,62.70%,#,#,,
,,[81.5-83.0],,[82.1-89.1],,[75.9-84.3],,[81.0-87.7],,[81.0-88.1],,[82.0-85.0],,[79.2-82.1],,[82.2-88.8],,[81.7-88.4],,[76.8-81.2],,[82.3-86.1],,[73.8-85.7],,[51.5-72.6],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B12. Have you ever received at least one dose of the shingles vaccine, which may have been called Shingrix or Zostavax? (n=6,354); (n(000s)=14,141)²",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"5,488",38.80%,74,30.80%,32,47.60%,152,36.40%,86,25.20%,"1,012",29.80%,"2,569",47.30%,176,39.5%-,153,40.10%,567,40.5%-,653,32.90%,5,43.90%,8,56.80%,#,#,,
,,[37.6-40.0],,[25.4-36.8],,[41.5-53.8],,[31.2-41.9],,[20.1-31.0],,[27.3-32.4],,[45.0-49.6],,[33.8-45.5],,[34.1-46.3],,[37.0-44.0],,[29.9-36.0],,[35.0-53.2],,[45.6-67.4],,,,
No,"8,654",61.20%,166,69.20%,35,52.40%,266,63.60%,256,74.80%,"2,385",70.20%,"2,862",52.70%,270,60.5%+,229,59.90%,834,59.5%+,"1,333",67.10%,7,56.10%,6,43.20%,#,#,,
,,[60.0-62.4],,[63.2-74.6],,[46.2-58.5],,[58.1-68.8],,[69.0-79.9],,[67.6-72.7],,[50.4-55.0],,[54.5-66.2],,[53.7-65.9],,[56.0-63.0],,[64.0-70.1],,[46.8-65.0],,[32.6-54.4],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B14. Have you ever received the pneumococcal vaccine (vaccine against pneumonia) as an adult, that is, 18 years of age or older? (n=5,326); (n(000s)=12,188)³",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"4,694",38.5%+,55,26.30%,22,38.80%,122,35.5%-,86,27.70%,960,34.80%,"1,943",42.10%,182,43.5%+,122,31.60%,553,42.30%,636,36.5%-,7,54.20%,5,41.30%,#,#,,
,,[37.2-39.8],,[20.8-32.7],,[32.3-45.9],,[29.7-41.8],,[22.2-33.9],,[31.8-37.8],,[39.5-44.6],,[37.2-50.1],,[26.0-37.9],,[38.6-46.1],,[33.1-40.0],,[44.4-63.7],,[29.9-53.7],,,,
No,"7,495",61.5%-,154,73.70%,34,61.20%,221,64.5%+,225,72.30%,"1,803",65.20%,"2,676",57.90%,236,56.5%-,263,68.40%,754,57.70%,"1,107",63.5%+,6,45.80%,8,58.70%,#,#,,
,,[60.2-62.8],,[67.3-79.2],,[54.1-67.7],,[58.2-70.3],,[66.1-77.8],,[62.2-68.2],,[55.4-60.5],,[49.9-62.8],,[62.1-74.0],,[53.9-61.4],,[60.0-66.9],,[36.3-55.6],,[46.3-70.1],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B16. Have you been vaccinated against mpox (monkeypox) as an adult, that is, 18 years of age or older? (n=10,538); (n(000s)=25,398)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"1,507",5.90%,15,4.00%,8,7.20%,26,3.70%,20,3.60%,233,4.00%,716,7.40%,51,5.60%,35,4.70%,202,7.20%,193,5.40%,#,#,#,#,#,#,,
,,[5.5-6.4],,[2.4-6.5],,[5.0-10.4],,[2.3-5.8],,[2.2-5.9],,[3.3-4.9],,[6.5-8.4],,[3.8-8.1],,[3.0-7.1],,[5.9-8.7],,[4.3-6.7],,,,,,,,
No,"23,891",94.10%,359,96.00%,102,92.80%,681,96.30%,538,96.40%,"5,581",96.00%,"8,958",92.60%,871,94.40%,718,95.30%,"2,622",92.80%,"3,394",94.60%,#,#,#,#,#,#,,
,,[93.6-94.5],,[93.5-97.6],,[89.6-95.0],,[94.2-97.7],,[94.1-97.8],,[95.1-96.7],,[91.6-93.5],,[91.9-96.2],,[92.9-97.0],,[91.3-94.1],,[93.3-95.7],,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B17a. Have you ever been vaccinated against polio? (n=10,298); (n(000s)=24,925)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"20,842",83.60%,296,83.70%,88,85.40%,570,85.60%,448,86.30%,"3,924",70.90%,"8,602",87.70%,784,88.70%,639,86.40%,"2,440",88.10%,"3,000",86.00%,22,83.80%,20,87.5%-,#,#,,
,,[82.9-84.3],,[79.5-87.3],,[81.3-88.8],,[82.0-88.6],,[82.5-89.5],,[68.9-72.9],,[86.5-88.9],,[85.4-91.4],,[82.8-89.3],,[86.3-89.8],,[84.0-87.7],,[77.4-88.6],,[78.9-92.9],,,,
No,"4,083",16.40%,57,16.30%,15,14.60%,96,14.40%,71,13.70%,"1,610",29.10%,"1,202",12.30%,99,11.30%,101,13.60%,328,11.90%,490,14.00%,4,16.20%,3,12.5%+,#,#,,
,,[15.7-17.1],,[12.7-20.5],,[11.2-18.7],,[11.4-18.0],,[10.5-17.5],,[27.1-31.1],,[11.1-13.5],,[8.6-14.6],,[10.7-17.2],,[10.2-13.7],,[12.3-16.0],,[11.4-22.6],,[7.1-21.1],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B17b. Have you ever been vaccinated against measles? (n=10,509); (n(000s)=25,473)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"22,259",87.40%,329,89.70%,95,89.90%,618,88.70%,454,85.80%,"5,049",86.40%,"8,590",87.40%,785,87.40%,651,89.80%,"2,554",89.30%,"3,076",86.70%,23,85.30%,22,86.40%,12,68.00%,,
,,[86.7-88.0],,[86.2-92.5],,[86.3-92.7],,[85.5-91.3],,[81.9-88.9],,[84.9-87.8],,[86.2-88.5],,[84.0-90.2],,[86.5-92.4],,[87.5-90.9],,[84.8-88.4],,[79.1-89.9],,[77.6-92.1],,[50.9-81.3],,
No,"3,213",12.60%,38,10.30%,11,10.10%,79,11.30%,75,14.20%,795,13.60%,"1,238",12.60%,113,12.60%,74,10.20%,306,10.70%,473,13.30%,4,14.70%,3,13.60%,6,32.00%,,
,,[12.0-13.3],,[7.5-13.8],,[7.3-13.7],,[8.7-14.5],,[11.1-18.1],,[12.2-15.1],,[11.5-13.8],,[9.8-16.0],,[7.6-13.5],,[9.1-12.5],,[11.6-15.2],,[10.1-20.9],,[7.9-22.4],,[18.7-49.1],,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B17c. Have you ever been vaccinated against meningitis? (n=8,573); (n(000s)=20,977)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,"12,843",61.20%,173,60.5%-,53,64.20%,351,60.30%,270,59.30%,"2,611",53.10%,"5,249",65.00%,451,62.40%,394,66.80%,"1,580",65.90%,"1,680",59.60%,13,59.80%,13,65.00%,#,#,,
,,[60.2-62.3],,[54.6-66.0],,[58.2-69.7],,[55.3-65.0],,[53.9-64.5],,[50.8-55.4],,[63.1-66.8],,[57.3-67.3],,[61.6-71.7],,[63.1-68.7],,[56.7-62.5],,[49.9-69.0],,[52.3-75.8],,,,
No,"8,134",38.80%,113,39.5%+,30,35.80%,232,39.70%,185,40.70%,"2,304",46.90%,"2,829",35.00%,271,37.60%,195,33.20%,817,34.10%,"1,138",40.40%,8,40.20%,7,35.00%,#,#,,
,,[37.7-39.8],,[34.0-45.4],,[30.3-41.8],,[35.0-44.7],,[35.5-46.1],,[44.6-49.2],,[33.2-36.9],,[32.7-42.7],,[28.3-38.4],,[31.3-36.9],,[37.5-43.3],,[31.0-50.1],,[24.2-47.7],,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¹ Applies to all respondents under 50 years of age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
² Applies to all respondents aged 50 and older,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"³ Applies to all respondents with a chronic health condition and/or who are current smokers, or all respondents from Nunavut aged 50 and older, or all respondents aged 65 and older",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 8. Percentage of respondents that have contracted varicella, overall, by sex and by age group, Canada, 2023¹",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B8. Have you ever contracted varicella (chickenpox)? (n=2,962); (n(000s)=7,664)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,,,,,,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yes, as a child (before the age of 18)","6,406",83.60%,"2,957",80.20%,"3,364",86.70%,825,66.70%,"5,581",86.80%,,,,,,,,,,,,,,,,,,,,
,,[82.2-84.9],,[78.0-82.2],,[84.9-88.3],,[61.5-71.5],,[85.5-88.1],,,,,,,,,,,,,,,,,,,,
"Yes, as an adult (at 18 years of age or older)",174,2.30%,76,2.10%,92,2.40%,#,#,161,2.5%-,,,,,,,,,,,,,,,,,,,,
,,[1.8-2.9],,[1.4-3.0],,[1.7-3.2],,,,[2.0-3.2],,,,,,,,,,,,,,,,,,,,
No,"1,084",14.10%,655,17.80%,425,11.00%,,,685,10.70%,,,,,,,,,,,,,,,,,,,,
,,[12.9-15.4],,[15.8-19.9],,[9.5-12.6],,,,[9.5-11.9],,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cells left blank were deliberate to avoid back calculation of suppressed numbers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
¹ Among individuals who did not receive the varicella vaccine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 9. Age at most recent dose of Human Papillomavirus vaccine, overall, by sex and by age group, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B10a. How old were you when you received your most recent dose of HPV vaccine? (n=741); (n(000s)=2,270)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,,,,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 to 14 years old,572,25.20%,82,14.80%,482,28.70%,354,45.30%,214,16.00%,#,#,#,#,Nil,Nil,,,,,,,,,,,,,,
,,[22.2-28.4],,[10.2-20.8],,[25.1-32.6],,[38.8-52.0],,[12.9-19.6],,,,,,,,,,,,,,,,,,,,
15 to 26 years old,"1,082",47.70%,312,56.20%,750,44.70%,427,54.70%,648,48.5%+,#,#,#,#,Nil,Nil,,,,,,,,,,,,,,
,,[44.1-51.3],,[48.7-63.3],,[40.6-48.8],,[48.0-61.2],,[44.0-53.1],,,,,,,,,,,,,,,,,,,,
27 years or older,616,27.10%,161,29.10%,447,26.60%,N/A,N/A,474,35.5%-,112,92.60%,#,#,#,#,,,,,,,,,,,,,,
,,[24.1-30.4],,[22.8-36.2],,[23.1-30.4],,,,[31.2-40.0],,[82.4-97.1],,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[95% confidence intervals in brackets],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The symbols + and - refer to the direction of rounding to integers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* Moderate sampling variability, interpret with caution.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"# High sampling variability or small sample size - although an estimate may be determined from the table, data should be suppressed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimates may not sum to 100% due to rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n = number of respondents (unweighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n (000)s = number of respondents (weighted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data was weighted by sex, age group and province/territory of residence",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nil indicates no response was provided,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: adult National Immunization Coverage Survey, 2023.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table 10. Respondents' intention to get vaccinated¹, overall, by sex, by age group, among people with chronic health conditions, and among health care workers, Canada, 2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B17d. How likely are you to get the following if it were recommended to you by a health care provider?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Overall
",,"Males
",,"Females
",,Ages 18-26,,Ages 27-49,,Ages 50-64,,Ages 65-79,,Ages 80+,,People with chronic health conditions,,Health care workers,,,,,,,,,,,
,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,n (000s),Weighted %,,,,,,,,,,
"Hepatitis B vaccine  (n=5,059); (n(000s)=11,996)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"4,581",38.20%,"2,471",38.40%,"2,072",38.20%,483,42.40%,"1,478",40.40%,"1,327",33.40%,"1,174",40.20%,120,39.80%,"1,496",40.30%,234,39.30%,,,,,,,,,,
,,[36.9-39.5],,[36.5-40.2],,[36.3-40.2],,[37.1-47.9],,[37.9-42.9],,[31.3-35.6],,[37.5-42.8],,[32.0-48.0],,[37.9-42.7],,[33.6-45.4],,,,,,,,,,
Somewhat likely,"3,514",29.30%,"1,865",29.00%,"1,608",29.70%,303,26.60%,"1,005",27.5%-,"1,241",31.20%,882,30.20%,84,27.80%,"1,171",31.5%+,195,32.60%,,,,,,,,,,
,,[28.1-30.6],,[27.3-30.7],,[27.9-31.6],,[22.0-31.7],,[25.3-29.8],,[29.1-33.4],,[27.8-32.7],,[21.1-35.8],,[29.3-33.8],,[27.2-38.5],,,,,,,,,,
Somewhat unlikely,"1,304",10.90%,717,11.10%,580,10.70%,112,9.80%,296,8.10%,503,12.70%,361,12.30%,33,10.90%,362,9.80%,59,9.90%,,,,,,,,,,
,,[10.0-11.8],,[10.0-12.4],,[9.5-12.0],,[7.0-13.6],,[6.8-9.6],,[11.2-14.3],,[10.7-14.2],,[6.7-17.1],,[8.4-11.3],,[6.9-14.2],,,,,,,,,,
Very unlikely,"1,083",9.00%,570,8.90%,500,9.20%,74,6.5%+,297,8.10%,408,10.30%,274,9.40%,31,10.20%,357,9.60%,30,4.90%,,,,,,,,,,
,,[8.3-9.9],,[7.8-10.0],,[8.1-10.5],,[4.3-9.8],,[6.8-9.6],,[8.9-11.8],,[7.9-11.1],,[6.2-16.3],,[8.3-11.1],,[2.9-8.3],,,,,,,,,,
Don't know,"1,514",12.60%,818,12.70%,658,12.10%,168,14.70%,583,15.90%,495,12.5%-,234,8.00%,34,11.40%,328,8.80%,79,13.20%,,,,,,,,,,
,,[11.7-13.6],,[11.5-14.0],,[10.9-13.5],,[11.3-19.0],,[14.1-17.9],,[11.0-14.1],,[6.6-9.6],,[7.1-17.7],,[7.6-10.3],,[9.6-17.8],,,,,,,,,,
"Tetanus vaccine  (n=3,476); (n(000s)=8,413)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"3,938",46.80%,"1,838",44.30%,"2,061",49.5%+,544,48.00%,"1,526",47.80%,"1,058",44.70%,738,48.00%,72,38.80%,"1,103",50.30%,280,55.70%,,,,,,,,,,
,,[45.2-48.5],,[41.9-46.7],,[47.2-51.9],,[42.4-53.6],,[45.0-50.6],,[41.8-47.7],,[44.4-51.7],,[29.2-49.4],,[47.1-53.4],,[49.0-62.1],,,,,,,,,,
Somewhat likely,"2,306",27.40%,"1,190",28.70%,"1,103",26.5%+,313,27.60%,844,26.40%,663,28.00%,408,26.60%,79,42.60%,594,27.00%,129,25.70%,,,,,,,,,,
,,[26.0-28.9],,[26.6-30.9],,[24.5-28.6],,[22.8-32.9],,[24.1-28.9],,[25.4-30.7],,[23.5-29.9],,[32.7-53.1],,[24.4-29.9],,[20.3-31.9],,,,,,,,,,
Somewhat unlikely,695,8.30%,375,9.00%,305,7.30%,67,5.90%,229,7.20%,216,9.10%,161,10.5%?,22,11.90%,193,8.80%,49,9.70%,,,,,,,,,,
,,[7.4-9.2],,[7.8-10.5],,[6.2-8.6],,[3.7-9.1],,[5.9-8.7],,[7.6-11.0],,[8.5-12.9],,[6.7-20.5],,[7.2-10.7],,[6.4-14.3],,,,,,,,,,
Very unlikely,523,6.20%,240,5.80%,273,6.60%,43,3.80%,179,5.60%,180,7.60%,115,7.5%-,#,#,142,6.5%-,19,3.90%,,,,,,,,,,
,,[5.5-7.1],,[4.8-7.0],,[5.5-7.8],,[2.2-6.6],,[4.5-7.0],,[6.2-9.3],,[5.8-9.6],,,,[5.1-8.2],,[2.0-7.3],,,,,,,,,,
Don't know,952,11.30%,507,12.20%,419,10.10%,167,14.80%,415,13.00%,249,10.5%+,114,7.40%,#,#,163,7.40%,26,5.20%,,,,,,,,,,
,,[10.3-12.4],,[10.7-13.8],,[8.7-11.6],,[11.2-19.2],,[11.3-15.0],,[8.9-12.5],,[5.7-9.5],,,,[5.9-9.2],,[2.9-8.9],,,,,,,,,,
"Pertussis (whooping cough) vaccine  (n=8,142); (n(000s)=20,015)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"7,355",36.70%,"3,615",34.80%,"3,664",39.10%,"1,058",42.20%,"2,635",37.20%,"2,002",33.20%,"1,538",38.10%,122,34.40%,"2,270",40.10%,607,42.5%-,,,,,,,,,,
,,[35.7-37.8],,[33.4-36.2],,[37.5-40.7],,[38.5-46.0],,[35.4-39.0],,[31.5-35.0],,[35.9-40.4],,[27.6-41.9],,[38.1-42.0],,[38.6-46.5],,,,,,,,,,
Somewhat likely,"5,574",27.90%,"2,866",27.60%,"2,642",28.20%,728,29.00%,"1,957",27.60%,"1,651",27.40%,"1,138",28.20%,101,28.5%+,"1,632",28.80%,373,26.10%,,,,,,,,,,
,,[26.9-28.8],,[26.3-28.9],,[26.8-29.6],,[25.7-32.6],,[26.0-29.3],,[25.7-29.1],,[26.2-30.3],,[22.2-35.8],,[27.0-30.6],,[22.7-29.8],,,,,,,,,,
Somewhat unlikely,"2,714",13.60%,"1,495",14.40%,"1,189",12.70%,242,9.60%,833,11.70%,"1,016",16.90%,564,14.00%,58,16.40%,692,12.20%,181,12.70%,,,,,,,,,,
,,[12.8-14.3],,[13.4-15.5],,[11.7-13.8],,[7.6-12.1],,[10.6-13.0],,[15.5-18.3],,[12.5-15.7],,[11.5-22.8],,[11.0-13.6],,[10.2-15.6],,,,,,,,,,
Very unlikely,"2,084",10.40%,"1,150",11.10%,894,9.5%+,141,5.60%,721,10.20%,715,11.90%,454,11.20%,52,14.70%,575,10.10%,128,8.90%,,,,,,,,,,
,,[9.8-11.1],,[10.2-12.0],,[8.6-10.5],,[4.1-7.7],,[9.1-11.3],,[10.7-13.1],,[9.9-12.8],,[10.1-20.9],,[9.0-11.4],,[6.9-11.5],,,,,,,,,,
Don't know,"2,288",11.40%,"1,263",12.20%,985,10.5%+,338,13.5%-,944,13.30%,642,10.70%,343,8.5%+,21,6.00%,499,8.80%,141,9.80%,,,,,,,,,,
,,[10.8-12.1],,[11.2-13.2],,[9.6-11.5],,[11.1-16.3],,[12.1-14.6],,[9.5-11.9],,[7.3-9.9],,[3.3-10.7],,[7.8-10.0],,[7.7-12.5],,,,,,,,,,
"Varicella (chickenpox) vaccine  (n=3,000); (n(000s)=7,823)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Very likely,"2,719",34.80%,"1,303",33.80%,"1,387",36.00%,482,36.5%+,"2,237",34.40%,N/A,N/A,N/A,N/A,N/A,N/A,618,38.20%,383,41.90%,,,,,,,,,,
,,[33.1-36.5],,[31.4-36.3],,[33.6-38.4],,[31.7-41.6],,[32.6-36.2],,,,,,,,[34.6-42.0],,[37.0-46.9],,,,,,,,,,
Somewhat likely,"1,544",19.70%,761,19.70%,766,19.90%,312,23.70%,"1,232",18.90%,N/A,N/A,N/A,N/A,N/A,N/A,335,20.70%,188,20.5%+,,,,,,,,,,
,,[18.4-21.2],,[17.7-21.9],,[18.0-21.9],,[19.6-28.3],,[17.5-20.5],,,,,,,,[17.8-24.0],,[16.7-24.9],,,,,,,,,,
Somewhat unlikely,"1,189",15.20%,574,14.90%,594,15.40%,189,14.40%,"1,000",15.40%,N/A,N/A,N/A,N/A,N/A,N/A,244,15.10%,132,14.40%,,,,,,,,,,
,,[14.0-16.5],,[13.1-16.8],,[13.7-17.3],,[11.1-18.3],,[14.0-16.8],,,,,,,,[12.6-18.0],,[11.2-18.3],,,,,,,,,,
Very unlikely,"1,630",20.80%,786,20.40%,826,21.40%,187,14.20%,"1,443",22.20%,N/A,N/A,N/A,N/A,N/A,N/A,329,20.30%,173,18.90%,,,,,,,,,,
,,[19.4-22.3],,[18.4-22.6],,[19.4-23.5],,[11.0-18.2],,[20.6-23.8],,,,,,,,[17.4-23.6],,[15.3-23.1],,,,,,,,,,
Don't know,742,9.5%-,434,11.20%,284,7.40%,149,11.30%,593,9.10%,N/A,N/A,N/A,N/A,N/A,N/A,92,5.70%,39,4.30%,,,,,,,,,,
