Public_health_unit,Antigen,Age,Year,Coverage
Halton Region Public Health,Varicella,12,2023-2024,83.1
City of Hamilton Public Health Services,Diphtheria,7,2023-2024,47.6
City of Hamilton Public Health Services,Measles,7,2023-2024,47.9
City of Hamilton Public Health Services,Mumps,7,2023-2024,47.8
City of Hamilton Public Health Services,Pertussis,7,2023-2024,47.5
City of Hamilton Public Health Services,Polio,7,2023-2024,47.7
City of Hamilton Public Health Services,Tetanus,7,2023-2024,47.6
City of Hamilton Public Health Services,Varicella,7,2023-2024,46.1
City of Hamilton Public Health Services,HPV,12,2023-2024,55.3
City of Hamilton Public Health Services,Hib,7,2023-2024,63.2
City of Hamilton Public Health Services,Pneumo,7,2023-2024,62.9
City of Hamilton Public Health Services,Rota,7,2023-2024,63.1
City of Hamilton Public Health Services,Diphtheria,17,2023-2024,65.4
City of Hamilton Public Health Services,HepB,12,2023-2024,63.2
City of Hamilton Public Health Services,HPV,17,2023-2024,62.8
City of Hamilton Public Health Services,Pertussis,17,2023-2024,65.7
City of Hamilton Public Health Services,Tetanus,17,2023-2024,65.4
City of Hamilton Public Health Services,HepB,17,2023-2024,71.5
City of Hamilton Public Health Services,MCV4,12,2023-2024,78.2
City of Hamilton Public Health Services,MCC,7,2023-2024,71
City of Hamilton Public Health Services,Rubella,7,2023-2024,74.6
City of Hamilton Public Health Services,MCV4,17,2023-2024,88.9
City of Hamilton Public Health Services,Polio,17,2023-2024,89.7
City of Hamilton Public Health Services,Measles,17,2023-2024,92
City of Hamilton Public Health Services,Mumps,17,2023-2024,91.7
City of Hamilton Public Health Services,Rubella,17,2023-2024,94.6
City of Hamilton Public Health Services,Diphtheria,5,2023-2024,32.3
City of Hamilton Public Health Services,Diphtheria,6,2023-2024,41.3
City of Hamilton Public Health Services,Diphtheria,8,2023-2024,63.4
City of Hamilton Public Health Services,Diphtheria,9,2023-2024,67.8
City of Hamilton Public Health Services,Diphtheria,10,2023-2024,73.1
City of Hamilton Public Health Services,Diphtheria,11,2023-2024,86.5
City of Hamilton Public Health Services,Diphtheria,12,2023-2024,89.3
City of Hamilton Public Health Services,Diphtheria,13,2023-2024,89.9
City of Hamilton Public Health Services,Diphtheria,14,2023-2024,71.2
City of Hamilton Public Health Services,Diphtheria,15,2023-2024,72.3
City of Hamilton Public Health Services,Diphtheria,16,2023-2024,73.5
City of Hamilton Public Health Services,HepB,13,2023-2024,68.4
City of Hamilton Public Health Services,HepB,14,2023-2024,64.8
City of Hamilton Public Health Services,HepB,15,2023-2024,40.4
City of Hamilton Public Health Services,HepB,16,2023-2024,46.9
City of Hamilton Public Health Services,Hib,5,2023-2024,58.4
City of Hamilton Public Health Services,Hib,6,2023-2024,62.1
City of Hamilton Public Health Services,Hib,8,2023-2024,78.8
City of Hamilton Public Health Services,Hib,9,2023-2024,77.8
City of Hamilton Public Health Services,Hib,10,2023-2024,79.4
City of Hamilton Public Health Services,Hib,11,2023-2024,77.8
City of Hamilton Public Health Services,Hib,12,2023-2024,75.8
City of Hamilton Public Health Services,HPV,13,2023-2024,60.3
City of Hamilton Public Health Services,HPV,14,2023-2024,56.9
City of Hamilton Public Health Services,HPV,15,2023-2024,29.1
City of Hamilton Public Health Services,HPV,16,2023-2024,38.8
City of Hamilton Public Health Services,MCC,5,2023-2024,66.7
City of Hamilton Public Health Services,MCC,6,2023-2024,69.8
City of Hamilton Public Health Services,MCC,8,2023-2024,85.9
City of Hamilton Public Health Services,MCC,9,2023-2024,87
City of Hamilton Public Health Services,MCC,10,2023-2024,91.1
City of Hamilton Public Health Services,MCC,11,2023-2024,91.3
City of Hamilton Public Health Services,MCC,12,2023-2024,96
City of Hamilton Public Health Services,MCV4,13,2023-2024,79.3
City of Hamilton Public Health Services,MCV4,14,2023-2024,86.9
City of Hamilton Public Health Services,MCV4,15,2023-2024,80.1
City of Hamilton Public Health Services,MCV4,16,2023-2024,89.1
City of Hamilton Public Health Services,Measles,5,2023-2024,32.7
City of Hamilton Public Health Services,Measles,6,2023-2024,41.9
City of Hamilton Public Health Services,Measles,8,2023-2024,64
City of Hamilton Public Health Services,Measles,9,2023-2024,68.2
City of Hamilton Public Health Services,Measles,10,2023-2024,73.2
City of Hamilton Public Health Services,Measles,11,2023-2024,87.6
City of Hamilton Public Health Services,Measles,12,2023-2024,90.6
City of Hamilton Public Health Services,Measles,13,2023-2024,91.9
City of Hamilton Public Health Services,Measles,14,2023-2024,94.5
City of Hamilton Public Health Services,Measles,15,2023-2024,94.5
City of Hamilton Public Health Services,Measles,16,2023-2024,93.1
City of Hamilton Public Health Services,Mumps,5,2023-2024,32.4
City of Hamilton Public Health Services,Mumps,6,2023-2024,41.8
City of Hamilton Public Health Services,Mumps,8,2023-2024,63.6
City of Hamilton Public Health Services,Mumps,9,2023-2024,67.9
City of Hamilton Public Health Services,Mumps,10,2023-2024,72.9
City of Hamilton Public Health Services,Mumps,11,2023-2024,87.3
City of Hamilton Public Health Services,Mumps,12,2023-2024,90.6
City of Hamilton Public Health Services,Mumps,13,2023-2024,91.8
City of Hamilton Public Health Services,Mumps,14,2023-2024,94.3
City of Hamilton Public Health Services,Mumps,15,2023-2024,94.4
City of Hamilton Public Health Services,Mumps,16,2023-2024,92.9
City of Hamilton Public Health Services,Pertussis,5,2023-2024,32.2
City of Hamilton Public Health Services,Pertussis,6,2023-2024,41.2
City of Hamilton Public Health Services,Pertussis,8,2023-2024,63.4
City of Hamilton Public Health Services,Pertussis,9,2023-2024,67.7
City of Hamilton Public Health Services,Pertussis,10,2023-2024,72.9
City of Hamilton Public Health Services,Pertussis,11,2023-2024,86.4
City of Hamilton Public Health Services,Pertussis,12,2023-2024,89.1
City of Hamilton Public Health Services,Pertussis,13,2023-2024,89.8
City of Hamilton Public Health Services,Pertussis,14,2023-2024,71.1
City of Hamilton Public Health Services,Pertussis,15,2023-2024,72.3
City of Hamilton Public Health Services,Pertussis,16,2023-2024,73.5
City of Hamilton Public Health Services,Pneumo,5,2023-2024,59.1
City of Hamilton Public Health Services,Pneumo,6,2023-2024,62.7
City of Hamilton Public Health Services,Pneumo,8,2023-2024,75.4
City of Hamilton Public Health Services,Pneumo,9,2023-2024,74.6
City of Hamilton Public Health Services,Pneumo,10,2023-2024,76.1
City of Hamilton Public Health Services,Pneumo,11,2023-2024,74.6
City of Hamilton Public Health Services,Pneumo,12,2023-2024,70.9
City of Hamilton Public Health Services,Polio,5,2023-2024,32.2
City of Hamilton Public Health Services,Polio,6,2023-2024,41.3
City of Hamilton Public Health Services,Polio,8,2023-2024,63.7
City of Hamilton Public Health Services,Polio,9,2023-2024,68.2
City of Hamilton Public Health Services,Polio,10,2023-2024,73.5
City of Hamilton Public Health Services,Polio,11,2023-2024,87.2
City of Hamilton Public Health Services,Polio,12,2023-2024,90.1
City of Hamilton Public Health Services,Polio,13,2023-2024,90.9
City of Hamilton Public Health Services,Polio,14,2023-2024,93.2
City of Hamilton Public Health Services,Polio,15,2023-2024,92.7
City of Hamilton Public Health Services,Polio,16,2023-2024,91.1
City of Hamilton Public Health Services,Rota,5,2023-2024,57.9
City of Hamilton Public Health Services,Rota,6,2023-2024,63.1
City of Hamilton Public Health Services,Rubella,5,2023-2024,70
City of Hamilton Public Health Services,Rubella,6,2023-2024,73.5
City of Hamilton Public Health Services,Rubella,8,2023-2024,88.2
City of Hamilton Public Health Services,Rubella,9,2023-2024,89.3
City of Hamilton Public Health Services,Rubella,10,2023-2024,92.7
City of Hamilton Public Health Services,Rubella,11,2023-2024,93.3
City of Hamilton Public Health Services,Rubella,12,2023-2024,94.1
City of Hamilton Public Health Services,Rubella,13,2023-2024,94.2
City of Hamilton Public Health Services,Rubella,14,2023-2024,96.7
City of Hamilton Public Health Services,Rubella,15,2023-2024,96.3
City of Hamilton Public Health Services,Rubella,16,2023-2024,95.8
City of Hamilton Public Health Services,Tetanus,5,2023-2024,32.3
City of Hamilton Public Health Services,Tetanus,6,2023-2024,41.3
City of Hamilton Public Health Services,Tetanus,8,2023-2024,63.4
City of Hamilton Public Health Services,Tetanus,9,2023-2024,67.8
City of Hamilton Public Health Services,Tetanus,10,2023-2024,73.1
City of Hamilton Public Health Services,Tetanus,11,2023-2024,86.5
City of Hamilton Public Health Services,Tetanus,12,2023-2024,89.3
City of Hamilton Public Health Services,Tetanus,13,2023-2024,89.9
City of Hamilton Public Health Services,Tetanus,14,2023-2024,71.2
City of Hamilton Public Health Services,Tetanus,15,2023-2024,72.3
City of Hamilton Public Health Services,Tetanus,16,2023-2024,73.5
City of Hamilton Public Health Services,Varicella,5,2023-2024,31
City of Hamilton Public Health Services,Varicella,6,2023-2024,39.9
City of Hamilton Public Health Services,Varicella,8,2023-2024,61.1
City of Hamilton Public Health Services,Varicella,9,2023-2024,65.1
City of Hamilton Public Health Services,Varicella,10,2023-2024,69
City of Hamilton Public Health Services,Varicella,11,2023-2024,85.3
City of Hamilton Public Health Services,Varicella,12,2023-2024,88.4
Hastings Prince Edward Public Health,HepB,12,2023-2024,59.7
Hastings Prince Edward Public Health,HPV,12,2023-2024,52.3
Hastings Prince Edward Public Health,Diphtheria,17,2023-2024,76.9
Hastings Prince Edward Public Health,HPV,17,2023-2024,70.6
Hastings Prince Edward Public Health,Pertussis,17,2023-2024,77.1
Hastings Prince Edward Public Health,Tetanus,17,2023-2024,76.9
Hastings Prince Edward Public Health,Rota,7,2023-2024,82.4
Hastings Prince Edward Public Health,HepB,17,2023-2024,81.3
Hastings Prince Edward Public Health,MCV4,12,2023-2024,81.2
Hastings Prince Edward Public Health,Diphtheria,7,2023-2024,92.9
Hastings Prince Edward Public Health,Hib,7,2023-2024,89.1
Hastings Prince Edward Public Health,Measles,7,2023-2024,92.9
Hastings Prince Edward Public Health,Mumps,7,2023-2024,92.8
Hastings Prince Edward Public Health,Pertussis,7,2023-2024,92.8
Hastings Prince Edward Public Health,Pneumo,7,2023-2024,91.1
Hastings Prince Edward Public Health,Polio,7,2023-2024,93.4
Hastings Prince Edward Public Health,Tetanus,7,2023-2024,92.9
Hastings Prince Edward Public Health,Varicella,7,2023-2024,91.9
Hastings Prince Edward Public Health,MCV4,17,2023-2024,96.1
Hastings Prince Edward Public Health,MCC,7,2023-2024,97
Hastings Prince Edward Public Health,Measles,17,2023-2024,97.2
Hastings Prince Edward Public Health,Mumps,17,2023-2024,97
Hastings Prince Edward Public Health,Polio,17,2023-2024,96.1
Hastings Prince Edward Public Health,Rubella,7,2023-2024,97.5
Hastings Prince Edward Public Health,Rubella,17,2023-2024,98.2
Hastings Prince Edward Public Health,Diphtheria,5,2023-2024,48.3
Hastings Prince Edward Public Health,Diphtheria,6,2023-2024,63.6
Hastings Prince Edward Public Health,Diphtheria,8,2023-2024,93.8
Hastings Prince Edward Public Health,Diphtheria,9,2023-2024,93.7
Hastings Prince Edward Public Health,Diphtheria,10,2023-2024,94.9
Hastings Prince Edward Public Health,Diphtheria,11,2023-2024,95
Hastings Prince Edward Public Health,Diphtheria,12,2023-2024,95.8
Hastings Prince Edward Public Health,Diphtheria,13,2023-2024,95.9
Hastings Prince Edward Public Health,Diphtheria,14,2023-2024,78.8
Hastings Prince Edward Public Health,Diphtheria,15,2023-2024,82
Hastings Prince Edward Public Health,Diphtheria,16,2023-2024,84.6
Hastings Prince Edward Public Health,HepB,13,2023-2024,63.4
Hastings Prince Edward Public Health,HepB,14,2023-2024,71.7
Hastings Prince Edward Public Health,HepB,15,2023-2024,66.5
Hastings Prince Edward Public Health,HepB,16,2023-2024,61.1
Hastings Prince Edward Public Health,Hib,5,2023-2024,89.9
Hastings Prince Edward Public Health,Hib,6,2023-2024,89.9
Hastings Prince Edward Public Health,Hib,8,2023-2024,91.5
Hastings Prince Edward Public Health,Hib,9,2023-2024,90.3
Hastings Prince Edward Public Health,Hib,10,2023-2024,90.7
Hastings Prince Edward Public Health,Hib,11,2023-2024,89.9
Hastings Prince Edward Public Health,Hib,12,2023-2024,86.8
Hastings Prince Edward Public Health,HPV,13,2023-2024,56.4
Hastings Prince Edward Public Health,HPV,14,2023-2024,64.1
Hastings Prince Edward Public Health,HPV,15,2023-2024,57.2
Hastings Prince Edward Public Health,HPV,16,2023-2024,56.1
Hastings Prince Edward Public Health,MCC,5,2023-2024,96.4
Hastings Prince Edward Public Health,MCC,6,2023-2024,96.5
Hastings Prince Edward Public Health,MCC,8,2023-2024,96.7
Hastings Prince Edward Public Health,MCC,9,2023-2024,96.4
Hastings Prince Edward Public Health,MCC,10,2023-2024,96.5
Hastings Prince Edward Public Health,MCC,11,2023-2024,96.9
Hastings Prince Edward Public Health,MCC,12,2023-2024,97.2
Hastings Prince Edward Public Health,MCV4,13,2023-2024,92.9
Hastings Prince Edward Public Health,MCV4,14,2023-2024,93.3
Hastings Prince Edward Public Health,MCV4,15,2023-2024,92.2
Hastings Prince Edward Public Health,MCV4,16,2023-2024,94.6
Hastings Prince Edward Public Health,Measles,5,2023-2024,49
Hastings Prince Edward Public Health,Measles,6,2023-2024,64.4
Hastings Prince Edward Public Health,Measles,8,2023-2024,94.3
Hastings Prince Edward Public Health,Measles,9,2023-2024,93.7
Hastings Prince Edward Public Health,Measles,10,2023-2024,94.8
Hastings Prince Edward Public Health,Measles,11,2023-2024,95.1
Hastings Prince Edward Public Health,Measles,12,2023-2024,96
Hastings Prince Edward Public Health,Measles,13,2023-2024,95.9
Hastings Prince Edward Public Health,Measles,14,2023-2024,95.8
Hastings Prince Edward Public Health,Measles,15,2023-2024,95.4
Hastings Prince Edward Public Health,Measles,16,2023-2024,96.4
Hastings Prince Edward Public Health,Mumps,5,2023-2024,48.9
Hastings Prince Edward Public Health,Mumps,6,2023-2024,64.3
Hastings Prince Edward Public Health,Mumps,8,2023-2024,94.3
Hastings Prince Edward Public Health,Mumps,9,2023-2024,93.7
Hastings Prince Edward Public Health,Mumps,10,2023-2024,94.7
Hastings Prince Edward Public Health,Mumps,11,2023-2024,94.9
Hastings Prince Edward Public Health,Mumps,12,2023-2024,95.9
Hastings Prince Edward Public Health,Mumps,13,2023-2024,95.9
Hastings Prince Edward Public Health,Mumps,14,2023-2024,95.8
Hastings Prince Edward Public Health,Mumps,15,2023-2024,95.4
Hastings Prince Edward Public Health,Mumps,16,2023-2024,96.2
Hastings Prince Edward Public Health,Pertussis,5,2023-2024,48.3
Hastings Prince Edward Public Health,Pertussis,6,2023-2024,63.6
Hastings Prince Edward Public Health,Pertussis,8,2023-2024,93.8
Hastings Prince Edward Public Health,Pertussis,9,2023-2024,93.7
Hastings Prince Edward Public Health,Pertussis,10,2023-2024,94.8
Hastings Prince Edward Public Health,Pertussis,11,2023-2024,95
Hastings Prince Edward Public Health,Pertussis,12,2023-2024,95.8
Hastings Prince Edward Public Health,Pertussis,13,2023-2024,95.9
Hastings Prince Edward Public Health,Pertussis,14,2023-2024,78.8
Hastings Prince Edward Public Health,Pertussis,15,2023-2024,81.7
Hastings Prince Edward Public Health,Pertussis,16,2023-2024,84.5
Hastings Prince Edward Public Health,Pneumo,5,2023-2024,92.2
Hastings Prince Edward Public Health,Pneumo,6,2023-2024,90.4
Hastings Prince Edward Public Health,Pneumo,8,2023-2024,92.5
Hastings Prince Edward Public Health,Pneumo,9,2023-2024,89.5
Hastings Prince Edward Public Health,Pneumo,10,2023-2024,90.1
Hastings Prince Edward Public Health,Pneumo,11,2023-2024,88.4
Hastings Prince Edward Public Health,Pneumo,12,2023-2024,82.9
Hastings Prince Edward Public Health,Polio,5,2023-2024,49.1
Hastings Prince Edward Public Health,Polio,6,2023-2024,64
Hastings Prince Edward Public Health,Polio,8,2023-2024,94.4
Hastings Prince Edward Public Health,Polio,9,2023-2024,93.8
Hastings Prince Edward Public Health,Polio,10,2023-2024,95
Hastings Prince Edward Public Health,Polio,11,2023-2024,95.5
Hastings Prince Edward Public Health,Polio,12,2023-2024,96.1
Hastings Prince Edward Public Health,Polio,13,2023-2024,96.2
Hastings Prince Edward Public Health,Polio,14,2023-2024,95.8
Hastings Prince Edward Public Health,Polio,15,2023-2024,94.4
Hastings Prince Edward Public Health,Polio,16,2023-2024,95.5
Hastings Prince Edward Public Health,Rota,5,2023-2024,79
Hastings Prince Edward Public Health,Rota,6,2023-2024,80.6
Hastings Prince Edward Public Health,Rubella,5,2023-2024,96.8
Hastings Prince Edward Public Health,Rubella,6,2023-2024,96.8
Hastings Prince Edward Public Health,Rubella,8,2023-2024,97.4
Hastings Prince Edward Public Health,Rubella,9,2023-2024,96.9
Hastings Prince Edward Public Health,Rubella,10,2023-2024,96.7
Hastings Prince Edward Public Health,Rubella,11,2023-2024,97.4
Hastings Prince Edward Public Health,Rubella,12,2023-2024,97.7
Hastings Prince Edward Public Health,Rubella,13,2023-2024,97.6
Hastings Prince Edward Public Health,Rubella,14,2023-2024,97
Hastings Prince Edward Public Health,Rubella,15,2023-2024,97
Hastings Prince Edward Public Health,Rubella,16,2023-2024,97.6
Hastings Prince Edward Public Health,Tetanus,5,2023-2024,48.3
Hastings Prince Edward Public Health,Tetanus,6,2023-2024,63.6
Hastings Prince Edward Public Health,Tetanus,8,2023-2024,93.8
Hastings Prince Edward Public Health,Tetanus,9,2023-2024,93.7
Hastings Prince Edward Public Health,Tetanus,10,2023-2024,94.9
Hastings Prince Edward Public Health,Tetanus,11,2023-2024,95
Hastings Prince Edward Public Health,Tetanus,12,2023-2024,95.8
Hastings Prince Edward Public Health,Tetanus,13,2023-2024,95.9
Hastings Prince Edward Public Health,Tetanus,14,2023-2024,78.8
Hastings Prince Edward Public Health,Tetanus,15,2023-2024,82
Hastings Prince Edward Public Health,Tetanus,16,2023-2024,84.6
Hastings Prince Edward Public Health,Varicella,5,2023-2024,47.1
Hastings Prince Edward Public Health,Varicella,6,2023-2024,62.3
Hastings Prince Edward Public Health,Varicella,8,2023-2024,93
Hastings Prince Edward Public Health,Varicella,9,2023-2024,92.7
Hastings Prince Edward Public Health,Varicella,10,2023-2024,93.9
Hastings Prince Edward Public Health,Varicella,11,2023-2024,93.5
Hastings Prince Edward Public Health,Varicella,12,2023-2024,94.3
Chatham-Kent Public Health,HPV,12,2023-2024,57.8
Chatham-Kent Public Health,HepB,12,2023-2024,65.8
Chatham-Kent Public Health,HPV,17,2023-2024,67
Chatham-Kent Public Health,Diphtheria,17,2023-2024,78.5
Chatham-Kent Public Health,MCV4,12,2023-2024,79.6
Chatham-Kent Public Health,Pertussis,17,2023-2024,78.5
Chatham-Kent Public Health,Tetanus,17,2023-2024,78.5
Chatham-Kent Public Health,Hib,7,2023-2024,83
Chatham-Kent Public Health,Pneumo,7,2023-2024,83.8
Chatham-Kent Public Health,Rota,7,2023-2024,81.5
Chatham-Kent Public Health,HepB,17,2023-2024,80.5
Chatham-Kent Public Health,Diphtheria,7,2023-2024,87.7
Chatham-Kent Public Health,MCC,7,2023-2024,91.4
Chatham-Kent Public Health,Measles,7,2023-2024,88
Chatham-Kent Public Health,Mumps,7,2023-2024,88
Chatham-Kent Public Health,Pertussis,7,2023-2024,87.6
Chatham-Kent Public Health,Polio,7,2023-2024,88.3
Chatham-Kent Public Health,Rubella,7,2023-2024,92.2
Chatham-Kent Public Health,Tetanus,7,2023-2024,87.7
Chatham-Kent Public Health,Varicella,7,2023-2024,88.7
Chatham-Kent Public Health,MCV4,17,2023-2024,95.2
Chatham-Kent Public Health,Measles,17,2023-2024,96.2
Chatham-Kent Public Health,Mumps,17,2023-2024,96.1
Chatham-Kent Public Health,Polio,17,2023-2024,96.3
Chatham-Kent Public Health,Rubella,17,2023-2024,97.7
Chatham-Kent Public Health,Diphtheria,5,2023-2024,67.1
Chatham-Kent Public Health,Diphtheria,6,2023-2024,79
Chatham-Kent Public Health,Diphtheria,8,2023-2024,91.1
Chatham-Kent Public Health,Diphtheria,9,2023-2024,91
Chatham-Kent Public Health,Diphtheria,10,2023-2024,93.1
Chatham-Kent Public Health,Diphtheria,11,2023-2024,94.9
Chatham-Kent Public Health,Diphtheria,12,2023-2024,94.8
Chatham-Kent Public Health,Diphtheria,13,2023-2024,94.1
Chatham-Kent Public Health,Diphtheria,14,2023-2024,75
Chatham-Kent Public Health,Diphtheria,15,2023-2024,74.5
Chatham-Kent Public Health,Diphtheria,16,2023-2024,83.3
Chatham-Kent Public Health,HepB,13,2023-2024,72.3
Chatham-Kent Public Health,HepB,14,2023-2024,71.5
Chatham-Kent Public Health,HepB,15,2023-2024,47.6
Chatham-Kent Public Health,HepB,16,2023-2024,63.3
Chatham-Kent Public Health,Hib,5,2023-2024,83.5
Chatham-Kent Public Health,Hib,6,2023-2024,83.9
Chatham-Kent Public Health,Hib,8,2023-2024,90
Chatham-Kent Public Health,Hib,9,2023-2024,88.2
Chatham-Kent Public Health,Hib,10,2023-2024,89.4
Chatham-Kent Public Health,Hib,11,2023-2024,89.1
Chatham-Kent Public Health,Hib,12,2023-2024,91.4
Chatham-Kent Public Health,HPV,13,2023-2024,63.2
Chatham-Kent Public Health,HPV,14,2023-2024,64.3
Chatham-Kent Public Health,HPV,15,2023-2024,40.5
Chatham-Kent Public Health,HPV,16,2023-2024,57
Chatham-Kent Public Health,MCC,5,2023-2024,91.5
Chatham-Kent Public Health,MCC,6,2023-2024,93.7
Chatham-Kent Public Health,MCC,8,2023-2024,94.3
Chatham-Kent Public Health,MCC,9,2023-2024,93.1
Chatham-Kent Public Health,MCC,10,2023-2024,94
Chatham-Kent Public Health,MCC,11,2023-2024,95.6
Chatham-Kent Public Health,MCC,12,2023-2024,97
Chatham-Kent Public Health,MCV4,13,2023-2024,89
Chatham-Kent Public Health,MCV4,14,2023-2024,92
Chatham-Kent Public Health,MCV4,15,2023-2024,89.6
Chatham-Kent Public Health,MCV4,16,2023-2024,93.2
Chatham-Kent Public Health,Measles,5,2023-2024,66.4
Chatham-Kent Public Health,Measles,6,2023-2024,78.7
Chatham-Kent Public Health,Measles,8,2023-2024,91.4
Chatham-Kent Public Health,Measles,9,2023-2024,90.9
Chatham-Kent Public Health,Measles,10,2023-2024,92.8
Chatham-Kent Public Health,Measles,11,2023-2024,94.1
Chatham-Kent Public Health,Measles,12,2023-2024,95
Chatham-Kent Public Health,Measles,13,2023-2024,93.5
Chatham-Kent Public Health,Measles,14,2023-2024,95.5
Chatham-Kent Public Health,Measles,15,2023-2024,96.2
Chatham-Kent Public Health,Measles,16,2023-2024,95.3
Chatham-Kent Public Health,Mumps,5,2023-2024,66.4
Chatham-Kent Public Health,Mumps,6,2023-2024,78.7
Chatham-Kent Public Health,Mumps,8,2023-2024,91.4
Chatham-Kent Public Health,Mumps,9,2023-2024,90.8
Chatham-Kent Public Health,Mumps,10,2023-2024,92.7
Chatham-Kent Public Health,Mumps,11,2023-2024,94.1
Chatham-Kent Public Health,Mumps,12,2023-2024,94.9
Chatham-Kent Public Health,Mumps,13,2023-2024,93.5
Chatham-Kent Public Health,Mumps,14,2023-2024,95.5
Chatham-Kent Public Health,Mumps,15,2023-2024,96.1
Chatham-Kent Public Health,Mumps,16,2023-2024,95.3
Chatham-Kent Public Health,Pertussis,5,2023-2024,67.1
Chatham-Kent Public Health,Pertussis,6,2023-2024,78.9
Chatham-Kent Public Health,Pertussis,8,2023-2024,91.1
Chatham-Kent Public Health,Pertussis,9,2023-2024,91
Chatham-Kent Public Health,Pertussis,10,2023-2024,93.1
Chatham-Kent Public Health,Pertussis,11,2023-2024,94.9
Chatham-Kent Public Health,Pertussis,12,2023-2024,94.8
Chatham-Kent Public Health,Pertussis,13,2023-2024,94.1
Chatham-Kent Public Health,Pertussis,14,2023-2024,75
Chatham-Kent Public Health,Pertussis,15,2023-2024,74.6
Chatham-Kent Public Health,Pertussis,16,2023-2024,83.2
Chatham-Kent Public Health,Pneumo,5,2023-2024,84
Chatham-Kent Public Health,Pneumo,6,2023-2024,84.8
Chatham-Kent Public Health,Pneumo,8,2023-2024,86.5
Chatham-Kent Public Health,Pneumo,9,2023-2024,85.5
Chatham-Kent Public Health,Pneumo,10,2023-2024,85.4
Chatham-Kent Public Health,Pneumo,11,2023-2024,83.5
Chatham-Kent Public Health,Pneumo,12,2023-2024,84.9
Chatham-Kent Public Health,Polio,5,2023-2024,67.8
Chatham-Kent Public Health,Polio,6,2023-2024,79.6
Chatham-Kent Public Health,Polio,8,2023-2024,91.5
Chatham-Kent Public Health,Polio,9,2023-2024,91.6
Chatham-Kent Public Health,Polio,10,2023-2024,93.7
Chatham-Kent Public Health,Polio,11,2023-2024,95.3
Chatham-Kent Public Health,Polio,12,2023-2024,95.3
Chatham-Kent Public Health,Polio,13,2023-2024,94.9
Chatham-Kent Public Health,Polio,14,2023-2024,95.2
Chatham-Kent Public Health,Polio,15,2023-2024,95.8
Chatham-Kent Public Health,Polio,16,2023-2024,94.9
Chatham-Kent Public Health,Rota,5,2023-2024,73.9
Chatham-Kent Public Health,Rota,6,2023-2024,80.4
Chatham-Kent Public Health,Rubella,5,2023-2024,92
Chatham-Kent Public Health,Rubella,6,2023-2024,94.1
Chatham-Kent Public Health,Rubella,8,2023-2024,95.1
Chatham-Kent Public Health,Rubella,9,2023-2024,93.9
Chatham-Kent Public Health,Rubella,10,2023-2024,95.4
Chatham-Kent Public Health,Rubella,11,2023-2024,97.3
Chatham-Kent Public Health,Rubella,12,2023-2024,97.4
Chatham-Kent Public Health,Rubella,13,2023-2024,96.7
Chatham-Kent Public Health,Rubella,14,2023-2024,97.3
Chatham-Kent Public Health,Rubella,15,2023-2024,97.8
Chatham-Kent Public Health,Rubella,16,2023-2024,97.5
Chatham-Kent Public Health,Tetanus,5,2023-2024,67.1
Chatham-Kent Public Health,Tetanus,6,2023-2024,79
Chatham-Kent Public Health,Tetanus,8,2023-2024,91.1
Chatham-Kent Public Health,Tetanus,9,2023-2024,91
Chatham-Kent Public Health,Tetanus,10,2023-2024,93.1
Chatham-Kent Public Health,Tetanus,11,2023-2024,94.9
Chatham-Kent Public Health,Tetanus,12,2023-2024,94.8
Chatham-Kent Public Health,Tetanus,13,2023-2024,94.1
Chatham-Kent Public Health,Tetanus,14,2023-2024,75
Chatham-Kent Public Health,Tetanus,15,2023-2024,74.5
Chatham-Kent Public Health,Tetanus,16,2023-2024,83.4
Chatham-Kent Public Health,Varicella,5,2023-2024,64.8
Chatham-Kent Public Health,Varicella,6,2023-2024,76.8
Chatham-Kent Public Health,Varicella,8,2023-2024,91.9
Chatham-Kent Public Health,Varicella,9,2023-2024,91.4
Chatham-Kent Public Health,Varicella,10,2023-2024,93.4
Chatham-Kent Public Health,Varicella,11,2023-2024,94.5
Chatham-Kent Public Health,Varicella,12,2023-2024,94.7
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,12,2023-2024,65.3
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,12,2023-2024,72.6
"Kingston, Frontenac and Lennox & Addington Public Health",HPV,17,2023-2024,79.3
"Kingston, Frontenac and Lennox & Addington Public Health",Rota,7,2023-2024,83.7
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,17,2023-2024,86.3
"Kingston, Frontenac and Lennox & Addington Public Health",HepB,17,2023-2024,88.4
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,12,2023-2024,88.9
"Kingston, Frontenac and Lennox & Addington Public Health",Pertussis,17,2023-2024,86.2
"Kingston, Frontenac and Lennox & Addington Public Health",Tetanus,17,2023-2024,86.3
"Kingston, Frontenac and Lennox & Addington Public Health",Hib,7,2023-2024,91.6
"Kingston, Frontenac and Lennox & Addington Public Health",Pneumo,7,2023-2024,92.5
"Kingston, Frontenac and Lennox & Addington Public Health",MCV4,17,2023-2024,97.2
"Kingston, Frontenac and Lennox & Addington Public Health",Diphtheria,7,2023-2024,95.9
"Kingston, Frontenac and Lennox & Addington Public Health",MCC,7,2023-2024,98.2
"Kingston, Frontenac and Lennox & Addington Public Health",Measles,7,2023-2024,96.5
